date,rank,keyword
2026-08-26,1,쌀20kg
2026-08-26,2,복숭아
2026-08-26,3,닭가슴살
2026-08-26,4,오메가3
2026-08-26,5,쌀10kg
2026-08-26,6,옥수수
2026-08-26,7,수박
2026-08-26,8,생수
2026-08-26,9,마그네슘
2026-08-26,10,무화과
2026-08-26,11,탄산수
2026-08-26,12,바위굴
2026-08-26,13,수향미10kg
2026-08-26,14,유산균
2026-08-26,15,파라다이스그레인
2026-08-26,16,비타민c
2026-08-26,17,포카리스웨트
2026-08-26,18,두유
2026-08-26,19,올리브오일
2026-08-26,20,조선호텔김치
2026-08-26,21,멸균우유
2026-08-26,22,콘드로이친
2026-08-26,23,링티
2026-08-26,24,자두
2026-08-26,25,사과
2026-08-26,26,김치
2026-08-26,27,토마토
2026-08-26,28,학가산김치
2026-08-26,29,베르베린
2026-08-26,30,뉴케어
2026-08-26,31,젖산마그네슘
2026-08-26,32,카무트효소
2026-08-26,33,도미솔김치
2026-08-26,34,임박
2026-08-26,35,뉴케어구수한맛
2026-08-26,36,견과류
2026-08-26,37,레몬즙
2026-08-26,38,크레아틴
2026-08-26,39,그릭요거트
2026-08-26,40,오징어
2026-08-26,41,찹쌀누룽지과자
2026-08-26,42,레드와인비니거
2026-08-26,43,안동학가산김치
2026-08-26,44,블루베리
2026-08-26,45,열무김치
2026-08-26,46,맥심모카골드
2026-08-26,47,전복
2026-08-26,48,아이스크림
2026-08-26,49,두부면
2026-08-26,50,멜라토닌
2026-08-26,51,콜라겐
2026-08-26,52,냉동블루베리
2026-08-26,53,미숫가루
2026-08-26,54,창억떡
2026-08-26,55,수향미
2026-08-26,56,콘드로이친1200
2026-08-26,57,참기름
2026-08-26,58,병아리콩
2026-08-26,59,하루견과
2026-08-26,60,진미채
2026-08-26,61,포카리스웨트340
2026-08-26,62,비타민d
2026-08-26,63,포스파티딜세린
2026-08-26,64,쌀
2026-08-26,65,계란
2026-08-26,66,참외
2026-08-26,67,단백질쉐이크
2026-08-26,68,la갈비
2026-08-26,69,생크림
2026-08-26,70,생수2l
2026-08-26,71,삼다수2l
2026-08-26,72,오이
2026-08-26,73,햇반
2026-08-26,74,삼다수
2026-08-26,75,명가삼대떡집
2026-08-26,76,당근주스
2026-08-26,77,모짜렐라치즈
2026-08-26,78,일리커피캡슐
2026-08-26,79,단호박
2026-08-26,80,아몬드
2026-08-26,81,감자
2026-08-26,82,단백질음료
2026-08-26,83,딱딱이복숭아
2026-08-26,84,서울우유한끼식사
2026-08-26,85,문어
2026-08-26,86,고구마
2026-08-26,87,뼈엔엠비피mbp
2026-08-26,88,비에날17유산균
2026-08-26,89,포도
2026-08-26,90,꽃보다오징어
2026-08-26,91,장어
2026-08-26,92,커큐민
2026-08-26,93,닭다리살
2026-08-26,94,꽃게
2026-08-26,95,납작복숭아
2026-08-26,96,루테인지아잔틴
2026-08-26,97,삼계탕
2026-08-26,98,생새우
2026-08-26,99,종가집포기김치
2026-08-26,100,아르기닌
2026-08-26,101,갈비탕
2026-08-26,102,땅콩버터
2026-08-26,103,야채도사
2026-08-26,104,고등어
2026-08-26,105,구운계란
2026-08-26,106,양배추즙
2026-08-26,107,정관장
2026-08-26,108,버터
2026-08-26,109,황태채
2026-08-26,110,간장게장
2026-08-26,111,괴산대학찰옥수수
2026-08-26,112,알부민
2026-08-26,113,코엔자임q10
2026-08-26,114,마른오징어
2026-08-26,115,고추장
2026-08-26,116,능이버섯
2026-08-26,117,무늬오징어
2026-08-26,118,루테인
2026-08-26,119,락토핏유산균
2026-08-26,120,참치캔
