keyword,local_rising_score,datalab_velocity,early_avg_ratio,late_avg_ratio,verdict
비건,(정적목록),3.8,0.68,2.58,상승
대극천복숭아,323.0,2.14,18.65,39.99,상승
화과자,147.0,1.64,28.21,46.23,상승
감태,212.0,1.63,12.1,19.67,상승
찰옥수수,177.38,1.38,43.22,59.57,상승
곤약,(정적목록),1.18,7.57,8.97,상승
오메가3,10.48,1.11,71.97,80.2,상승
닭가슴살,8.0,1.06,80.95,85.75,상승
제로음료,(정적목록),1.0,2.85,2.86,상승
세척사과,155.0,0.99,33.61,33.33,하락/보합
표고버섯,154.33,0.96,26.95,25.9,하락/보합
샐러드,116.92,0.94,65.76,61.96,하락/보합
프로틴,138.0,0.92,13.2,12.15,하락/보합
돼지갈비,149.2,0.91,44.65,40.64,하락/보합
촉촉한황치즈칩,171.39,0.88,76.05,66.62,하락/보합
저당,(정적목록),0.88,2.81,2.47,하락/보합
디카페인커피,159.86,0.87,55.45,48.3,하락/보합
요거트,(정적목록),0.87,39.09,33.97,하락/보합
아스타잔틴,178.0,0.86,10.94,9.37,하락/보합
블랙마카,174.33,0.85,31.81,26.89,하락/보합
파로효소,163.0,0.83,32.0,26.48,하락/보합
갱년기영양제,171.0,0.82,20.24,16.53,하락/보합
전라도김치,162.0,0.8,36.18,29.0,하락/보합
밀키트,75.58,0.8,24.03,19.29,하락/보합
홍산마늘,189.33,0.75,27.02,20.16,하락/보합
시아스김치볶음밥,166.12,0.6,53.9,32.14,하락/보합
구강유산균m18,154.75,0.59,54.49,32.17,하락/보합
야콘,263.5,0.57,63.23,35.81,하락/보합
포사인콘드로친,266.0,0.44,9.72,4.29,하락/보합
파랙틴,159.33,0.31,19.74,6.19,하락/보합
