keyword,appearances,early_avg_rank,late_avg_rank,new_entry,rising_score
대극천복숭아,2,493,171,False,323.0
포사인콘드로친,2,445,180,False,266.0
야콘,9,320,61,False,263.5
감태,2,259,48,False,212.0
홍산마늘,8,464.5,279.2,False,189.33
아스타잔틴,2,306,129,False,178.0
찰옥수수,14,352,181.6,False,177.38
블랙마카,7,370,199.2,False,174.33
촉촉한황치즈칩,15,339.1,175.2,False,171.39
갱년기영양제,2,491,321,False,171.0
시아스김치볶음밥,9,357,195.4,False,166.12
파로효소,2,350,188,False,163.0
전라도김치,2,499,338,False,162.0
디카페인커피,8,432,276.1,False,159.86
파랙틴,4,409,251.7,False,159.33
세척사과,3,492,338.5,False,155.0
구강유산균m18,14,259,111.2,False,154.75
표고버섯,4,491,338.7,False,154.33
돼지갈비,13,400.2,257.5,False,149.2
화과자,4,448,303,False,147.0
깐포도,13,321.2,184.4,False,143.32
매스틱,6,391,252.8,False,141.2
프로틴,9,415.5,282,False,138.0
히카마,13,205.8,75.6,False,136.68
의성마늘,8,448,317.1,False,134.86
상황버섯쌀,5,376,245.2,False,133.25
매실장아찌,11,381,255,False,131.5
뉴케어고단백,14,416,294.4,False,128.62
우삼겹,7,462,341,False,124.5
잣,5,474.5,353.7,False,123.33
호랑이콩,15,184,70.1,False,121.38
비피더스유산균,12,412.5,297.4,False,121.12
종가집포기김치,13,419.6,305.6,False,120.48
오트밀,15,257.4,145.6,False,119.3
자보티바,7,473,357.2,False,119.3
믹스커피,13,383.1,270.5,False,119.14
냉동닭가슴살,4,475.5,358.5,False,119.0
떡케이크,5,466.2,350,False,118.75
다크초콜릿,11,373.7,260.6,False,118.57
샐러드,10,404.8,292.8,False,116.92
아스파라거스,6,383,269.5,False,116.5
센트룸,10,438,330.1,False,112.86
소고기,3,489.5,379,False,112.0
수향미20kg,2,472,361,False,112.0
정관장,15,266.3,162,False,111.79
아임비타이뮨샷,5,393.2,284,False,111.75
야채도사,15,139,34.9,False,111.62
캐슈넛,12,398.5,296.4,False,108.12
감자10kg,9,396,293.7,False,106.83
삼백초추출물,8,358,256,False,106.0
국산체리,15,316.4,218,False,105.93
흑염소진액,14,306.7,207.9,False,105.86
